[01:00:08] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | 
[01:00:09] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | 
[01:00:09] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | 
[01:00:09] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | 
[01:00:09] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | 
[01:00:10] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | 
[01:00:10] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | 
[01:00:10] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | 
[01:00:11] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | 
[01:00:11] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | 
[01:00:11] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | 
[01:00:12] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | 
[01:00:12] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | 
[01:00:12] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | 
[01:02:27] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | 
[01:02:28] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | 
[01:03:22] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(34) | setp1 go to google 
[01:03:26] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(39) | setp2 click image search button
[01:03:26] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(45) | setp3 click upload button
[01:03:28] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(51) | setp4 use autoit to upload image
[01:03:51] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(59) | setp5 find third image
[01:03:51] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(75) | get image url to compare with oringal image 
[01:03:51] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(78) | beacase my computer  can not get google image service, so we use some image to replay
[01:03:51] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(79) | if your computer support google image service, you can replace it. there is logic support that
[01:03:51] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(82) | 获取所有图片链接，链接如下>>>>>>>>>>>>>>
[01:04:43] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQqP5MdGLupLwf-fL9pG4c766-lilW93Kvbmu9A1L-xC6KbTRwQ
[01:04:55] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | https://encrypted-tbn3.gstatic.com/favicon-tbn?q=tbn:ANd9GcRv794zBOQO02ChHD5K_TnlJwwf8PThFmn58OZAhQnomqvb1XKnHGAk8BQDBcyXho53FvXtsB2eVFSimUAzH3zcBAPC_yfttm2gkn07x3UumIdkepR5
[01:04:55] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR-u9R4VhCTABAutoJ_qeHKGnttZDdVChyjY6gAaeMtuTy3QtZE
[01:04:55] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | https://encrypted-tbn2.gstatic.com/favicon-tbn?q=tbn:ANd9GcS78ACUWDZrxWVmFluZgGR2fRHw-g1FK-Tfsg1on1Zbq944AhI38OshK4WGvbSUfrd6nlbc6_GrbyCIx2WOuu9aR8c9jjq2LIYbYImIJfFvBbT5-Q
[01:04:55] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSWmxM4TITLLMaHLWUA6FNBJCKqMFlQ_Eda3Yo-ATGwHA4PdOjf
[01:04:55] INFO [main] com.demo.search.testcase.Google_Search_Image_001.search_image(88) | https://encrypted-tbn0.gstatic.com/favicon-tbn?q=tbn:ANd9GcTQdhYKRbbqgCC_hUKbg1LBwalc5hFvDef04aKtEm4ymk1UmePKJrPlt_LjHvB7Aq1dYoIBbiIJ1NlsjKc5XTus20V-QeQkUPl9ea4gZzUE1nhIYNB2UA
